Protein	LB	Root ECM	Root no ECM	Leaves ECM	Leaves no ECM	Xylem Sap
B0CY90	1	0	0	0	0	0
B0CQT2	1	0	0	0	0	0
B0CR38	1	0	0	0	0	0
B0D7Q8	1	1	1	0	0	0
B0CZ96	1	0	0	0	0	0
B0CX21	1	0	0	0	0	0
B0DBE2	1	0	0	0	0	0
B0D692	1	0	0	0	0	0
B0DDQ3	1	0	0	0	0	0
B0D3Y6	1	0	0	0	0	0
B0CRX4	1	0	0	0	0	0
Potri.002G257500.1.p	1	0	0	0	0	0
B0DX54	1	0	0	0	0	0
B0CP91	1	1	0	0	0	0
B0DS66	1	0	0	0	0	0
B0DQ20	1	0	0	0	0	0
B0DAC1	1	0	0	0	0	0
B0D0H9	1	0	0	0	0	0
B0DIY2	1	0	0	0	0	0
B0D3I5	1	0	0	0	0	0
B0CTB8	1	0	0	0	0	0
B0CR29	1	0	0	0	0	0
B0D7U9	1	0	0	0	0	0
B0D8L2	1	0	0	0	0	0
B0CSU9	1	0	0	0	0	0
B0D7P7	1	0	0	0	0	0
B0CT62	1	0	0	0	0	0
B0CZ34	1	0	0	0	0	0
B0DAJ0	1	0	0	0	0	0
B0D9D9	1	0	0	0	0	0
B0CP28	1	0	0	0	0	0
B0DSG8	1	0	0	0	0	0
Potri.006G123200.1.p	1	1	1	1	1	1
B0CYP6	1	0	0	0	0	0
B0DLH6	1	0	0	0	0	0
B0CVU1	1	0	0	0	0	0
B0D5U6	1	0	0	0	0	0
B0CP26	1	0	0	0	0	0
B0CYA6	1	1	1	0	0	0
B0CWK7	1	0	0	0	0	0
B0CNH6	1	0	0	0	0	0
B0CUZ4	1	0	0	0	0	0
B0DKR4	1	0	0	0	0	0
B0CU49	1	0	0	0	0	0
B0D0A7	1	0	0	0	0	0
B0DKI0	1	1	1	0	0	0
B0E482	1	0	0	0	0	0
B0DKI3	1	0	1	0	0	0
B0D2P7	1	0	0	0	0	0
B0CTA1	1	1	1	0	0	0
B0CUX8	1	1	0	0	0	0
B0D0A1	1	0	0	0	0	0
B0CYV9	1	0	0	0	0	0
B0CRD7	1	0	0	0	0	0
B0D0H0	1	0	0	0	0	0
B0CQ48	1	1	1	0	0	0
B0CP55	1	0	0	0	0	0
B0CPU3	1	1	0	0	0	0
B0DG40	1	0	0	0	0	0
B0DNA7	1	0	0	0	0	0
B0DQT5	1	0	0	0	0	0
B0DAQ7	1	0	1	0	0	0
B0CZU8	1	1	0	0	0	0
B0DAD9	0	0	0	0	0	0
B0DQ95	1	0	0	0	0	0
B0DA62	1	0	0	0	0	0
B0D3S3	1	0	0	0	0	0
B0D6Q0	1	0	0	0	0	0
B0D194	1	0	0	0	0	0
B0D8T1	1	0	0	0	0	0
B0DA55	1	0	0	0	0	0
B0D1S0	1	0	0	0	0	0
B0D8N7	1	0	0	0	0	0
B0DQ33	1	0	0	0	0	0
B0CZP2	1	0	0	0	0	0
B0D7I5	1	0	0	0	0	0
B0DVC4	1	0	0	0	0	0
B0CYQ6	1	0	0	0	0	0
B0CPN8	1	1	0	0	0	0
B0D181	1	0	0	0	0	0
B0E0W3	1	0	0	0	0	0
B0E0Z0	1	0	0	0	0	0
B0DII1	1	0	0	0	0	0
B0D434	1	0	0	0	0	0
B0DVL9	1	0	0	0	0	0
B0CNH9	1	0	0	0	0	0
B0D231	1	0	0	0	0	0
B0D8C2	1	0	0	0	0	0
B0CXN8	1	0	0	0	0	0
B0E0P4	1	0	0	0	0	0
B0DXR3	1	1	0	0	0	0
B0D9T3	1	0	0	0	0	0
B0DB91	1	0	0	0	0	0
B0D232	1	1	0	0	0	0
B0CQR0	1	0	0	0	0	0
B0DZA7	1	1	0	0	0	0
B0DA56	1	0	0	0	0	0
B0D8D2	1	0	0	0	0	0
B0DBE3	1	0	0	0	0	0
B0DZX2	1	0	0	0	0	0
B0E1A0	1	0	0	0	0	0
B0DIP2	1	0	0	0	0	0
B0DZR5	1	0	1	0	0	0
B0DC38	1	0	0	0	0	0
Potri.001G455600.1.p	1	0	0	0	0	0
B0CR06	1	0	0	0	0	0
B0D6T2	1	0	0	0	0	0
B0CNT3	1	0	0	0	0	0
B0DWZ3	1	1	1	0	0	0
B0CSE4	1	1	1	0	0	0
B0CVX2	1	0	0	0	0	0
B0CTS9	1	0	0	0	0	0
B0CXC2	1	1	0	0	0	0
B0CND3	1	0	0	0	0	0
B0DIB3	1	0	0	0	0	0
B0CSS9	1	1	1	0	0	0
B0CZ06	1	0	0	0	0	0
B0DI78	1	1	0	0	0	0
B0CUY1	1	0	0	0	0	0
B0DEP4	1	0	0	0	0	0
B0CR37	1	0	0	0	0	0
B0CVR3	1	0	0	0	0	0
B0CR28	1	0	0	0	0	0
B0CUJ4	1	0	0	0	0	0
B0CXG9	1	0	0	0	0	0
B0CXF3	1	0	0	0	0	0
B0CTN7	1	0	0	0	0	0
B0DAB2	1	0	0	0	0	0
Potri.005G056700.1.p	0	0	0	0	0	0
B0DXN9	1	1	0	0	0	0
Potri.011G139200.1.p	1	0	0	0	0	0
B0CV79	1	1	1	0	0	0
B0CPR8	1	1	1	0	0	0
B0E552	1	1	1	0	0	0
B0DPX4	1	1	0	0	0	0
B0CYG8	1	0	0	0	0	0
B0CUD9	1	0	0	0	0	0
B0DI74	1	0	0	0	0	0
B0DUC0	1	0	0	0	0	0
B0D812	1	0	0	0	0	0
B0D7T7	1	0	0	0	0	0
B0D8J9	1	0	0	0	0	0
B0CR27	1	0	0	0	0	0
B0DLD0	1	1	1	0	0	0
B0CP36	1	0	0	0	0	0
B0DWT9	1	0	0	0	0	0
B0D125	1	0	0	0	0	0
B0DHZ5	1	0	0	0	0	0
Potri.001G156800.1.p	1	0	0	0	0	0
B0CV73	1	0	0	0	0	0
B0DBI9	1	0	0	0	0	0
B0D713	0	1	1	0	0	0
B0CRU3	1	0	0	0	0	0
B0DCD5	1	0	0	0	0	0
B0CSG7	1	0	1	0	0	0
Potri.003G208800.1.p	1	0	0	0	0	0
B0D1M7	1	1	0	0	0	0
B0D6W6	1	0	0	0	0	0
B0DBL2	1	0	0	0	0	0
B0DPK4	1	0	0	0	0	0
B0DBP2	1	1	1	0	0	0
B0CZR7	1	1	0	0	0	0
B0D843	1	1	1	0	0	0
B0D3P4	1	0	0	0	0	0
B0CQM3	1	0	0	0	0	0
B0CTZ7	1	1	1	0	0	0
B0CQ57	1	0	0	0	0	0
B0CUA1	1	1	0	0	0	0
Potri.018G009400.6.p	1	0	0	0	0	0
B0CY45	1	1	0	0	0	0
B0CQB2	1	0	0	0	0	0
B0DXK8	1	0	0	0	0	0
B0DU21	0	0	0	0	0	0
B0DJR8	1	1	0	0	0	0
B0CRG5	1	1	0	0	0	0
Potri.001G041300.1.p	0	1	1	0	0	0
Potri.011G118900.3.p	0	1	1	1	1	0
Potri.001G400100.5.p	0	1	1	1	1	0
Potri.019G100001.1.p	0	1	1	1	1	0
Potri.009G030800.2.p	0	1	1	0	1	0
Potri.018G090300.1.p	0	1	1	0	1	0
Potri.001G153000.1.p	0	1	0	1	1	0
B0DW43	0	1	0	0	0	0
Potri.010G236500.1.p	0	1	1	1	1	0
Potri.017G131100.1.p	0	1	1	0	1	0
B0DN19	0	1	1	0	0	0
Potri.004G196500.1.p	0	1	0	0	0	0
Potri.008G054700.1.p	0	1	1	0	0	0
Potri.007G116400.1.p	0	1	1	1	1	0
Potri.006G165700.3.p	0	1	1	0	0	1
Potri.003G081600.2.p	0	1	0	1	1	0
Potri.001G322300.1.p	0	1	1	0	0	0
Potri.010G171600.3.p	0	1	1	1	1	0
Potri.008G166800.2.p	0	1	1	0	0	0
B0D850	0	1	0	0	0	0
B0DXP4	0	1	1	0	0	0
B0D721	0	1	1	0	0	0
B0DRA4	0	1	0	0	0	0
B0D782	0	1	1	0	0	0
B0DM94	0	1	0	0	0	0
B0DP29	0	1	1	0	0	0
B0CV29	0	1	0	0	0	0
Potri.003G067000.1.p	0	1	1	0	0	0
Potri.001G267800.3.p	0	1	1	1	1	0
Potri.018G090100.1.p	0	1	1	1	0	1
Potri.001G008500.1.p	0	1	1	0	0	0
Potri.010G191900.3.p	0	1	1	0	1	0
Potri.008G194900.1.p	0	1	0	0	1	0
Potri.012G142600.3.p	0	1	0	1	1	0
Potri.011G027300.1.p	0	1	0	0	0	0
B0CP53	0	1	0	0	0	0
Potri.015G121600.2.p	0	1	0	0	0	0
